Burglary	399	September	2012	9/30/2012
Larceny	728	September	2012	9/30/2012
Motor Vehicle Theft	84	September	2012	9/30/2012
Homicide	7	October	2012	10/31/2012
Rape	17	October	2012	10/31/2012
Robbery	111	October	2012	10/31/2012
Assault	146	October	2012	10/31/2012
Burglary	386	October	2012	10/31/2012
Larceny	726	October	2012	10/31/2012
Motor Vehicle Theft	113	October	2012	10/31/2012
Homicide	4	November	2012	11/30/2012
Rape	10	November	2012	11/30/2012
Robbery	115	November	2012	11/30/2012
Assault	127	November	2012	11/30/2012
Burglary	317	November	2012	11/30/2012
Larceny	657	November	2012	11/30/2012
Motor Vehicle Theft	94	November	2012	11/30/2012
Homicide	4	December	2012	12/31/2012
Rape	6	December	2012	12/31/2012
Robbery	134	December	2012	12/31/2012
Assault	104	December	2012	12/31/2012
Burglary	306	December	2012	12/31/2012
Larceny	662	December	2012	12/31/2012
Motor Vehicle Theft	87	December	2012	12/31/2012
Homicide	1	January	2013	1/31/2013
Rape	7	January	2013	1/31/2013
Robbery	100	January	2013	1/31/2013
Assault	124	January	2013	1/31/2013
Burglary	251	January	2013	1/31/2013
Larceny	634	January	2013	1/31/2013
Motor Vehicle Theft	103	January	2013	1/31/2013
Homicide	2	February	2013	2/28/2013
Rape	7	February	2013	2/28/2013
Robbery	79	February	2013	2/28/2013
Assault	96	February	2013	2/28/2013
Burglary	208	February	2013	2/28/2013
Larceny	493	February	2013	2/28/2013
Motor Vehicle Theft	52	February	2013	2/28/2013
Homicide	4	March	2013	3/31/2013
Rape	11	March	2013	3/31/2013
Robbery	99	March	2013	3/31/2013
Assault	128	March	2013	3/31/2013
Burglary	275	March	2013	3/31/2013
Larceny	649	March	2013	3/31/2013
Motor Vehicle Theft	69	March	2013	3/31/2013
Homicide	4	April	2013	4/30/2013
Rape	14	April	2013	4/30/2013
Robbery	117	April	2013	4/30/2013
Assault	142	April	2013	4/30/2013
Burglary	278	April	2013	4/30/2013
Larceny	614	April	2013	4/30/2013
Motor Vehicle Theft	73	April	2013	4/30/2013
Homicide	4	May	2013	5/31/2013
Rape	19	May	2013	5/31/2013
Robbery	89	May	2013	5/31/2013
Assault	173	May	2013	5/31/2013
Burglary	277	May	2013	5/31/2013
Larceny	722	May	2013	5/31/2013
Motor Vehicle Theft	79	May	2013	5/31/2013
Homicide	3	June	2013	6/30/2013
Rape	14	June	2013	6/30/2013
Robbery	126	June	2013	6/30/2013
Assault	172	June	2013	6/30/2013
Burglary	336	June	2013	6/30/2013
Larceny	690	June	2013	6/30/2013
Motor Vehicle Theft	96	June	2013	6/30/2013
Homicide	5	July	2013	7/31/2013
Rape	14	July	2013	7/31/2013
Robbery	118	July	2013	7/31/2013
Assault	179	July	2013	7/31/2013
Burglary	336	July	2013	7/31/2013
Larceny	842	July	2013	7/31/2013
Motor Vehicle Theft	108	July	2013	7/31/2013
Homicide	5	August	2013	8/31/2013
Rape	16	August	2013	8/31/2013
Robbery	140	August	2013	8/31/2013
Assault	186	August	2013	8/31/2013
Burglary	302	August	2013	8/31/2013
Larceny	780	August	2013	8/31/2013
Motor Vehicle Theft	88	August	2013	8/31/2013
Homicide	4	September	2013	9/30/2013
Rape	16	September	2013	9/30/2013
Robbery	121	September	2013	9/30/2013
Assault	147	September	2013	9/30/2013
Burglary	325	September	2013	9/30/2013
Larceny	776	September	2013	9/30/2013
Motor Vehicle Theft	75	September	2013	9/30/2013
Homicide	4	October	2013	10/31/2013
Rape	8	October	2013	10/31/2013
Robbery	132	October	2013	10/31/2013
Assault	122	October	2013	10/31/2013
Burglary	340	October	2013	10/31/2013
Larceny	705	October	2013	10/31/2013
Motor Vehicle Theft	70	October	2013	10/31/2013
Homicide	4	November	2013	11/30/2013
Rape	13	November	2013	11/30/2013
Robbery	95	November	2013	11/30/2013
Assault	113	November	2013	11/30/2013
Burglary	257	November	2013	11/30/2013
Larceny	595	November	2013	11/30/2013
Motor Vehicle Theft	83	November	2013	11/30/2013
Homicide	7	December	2013	12/31/2013
Rape	13	December	2013	12/31/2013
Robbery	113	December	2013	12/31/2013
Assault	109	December	2013	12/31/2013
Burglary	282	December	2013	12/31/2013
Larceny	607	December	2013	12/31/2013
Motor Vehicle Theft	86	December	2013	12/31/2013
Homicide	3	January	2014	1/31/2014
Rape	9	January	2014	1/31/2014
Robbery	105	January	2014	1/31/2014
Assault	99	January	2014	1/31/2014
Burglary	221	January	2014	1/31/2014
Larceny	646	January	2014	1/31/2014
Motor Vehicle Theft	95	January	2014	1/31/2014
Homicide	3	February	2014	2/28/2014
Rape	6	February	2014	2/28/2014
Robbery	61	February	2014	2/28/2014
Assault	106	February	2014	2/28/2014
Burglary	166	February	2014	2/28/2014
Larceny	526	February	2014	2/28/2014
Motor Vehicle Theft	78	February	2014	2/28/2014
Homicide	3	March	2014	3/31/2014
Rape	14	March	2014	3/31/2014
Robbery	65	March	2014	3/31/2014
Assault	105	March	2014	3/31/2014
Burglary	210	March	2014	3/31/2014
Larceny	568	March	2014	3/31/2014
Motor Vehicle Theft	69	March	2014	3/31/2014
Homicide	1	April	2014	4/30/2014
Rape	15	April	2014	4/30/2014
Robbery	119	April	2014	4/30/2014
Assault	135	April	2014	4/30/2014
Burglary	232	April	2014	4/30/2014
Larceny	656	April	2014	4/30/2014
Motor Vehicle Theft	93	April	2014	4/30/2014
Homicide	6	May	2014	5/31/2014
Rape	13	May	2014	5/31/2014
Robbery	130	May	2014	5/31/2014
Assault	172	May	2014	5/31/2014
Burglary	303	May	2014	5/31/2014
Larceny	793	May	2014	5/31/2014
Motor Vehicle Theft	92	May	2014	5/31/2014
Homicide	5	June	2014	6/30/2014
Rape	18	June	2014	6/30/2014
Robbery	127	June	2014	6/30/2014
